CompanyName,Symbol,Price
BHARAT GEARS LTD.,BHARATGEAR,₹103.20
BHARAT RASAYAN LTD,BHARATRAS,₹11400.00
BHARAT WIRE ROPES LTD.,BHARATWIRE,₹264.65
BHARTI AIRTEL LIMITED,BHARTIARTL,₹1670.05
BHARTI HEXACOM LIMITED,BHARTIHEXA,₹1399.95
BHEL,BHEL,₹269.50
BIGBLOC CONSTRUCTION LTD,BIGBLOC,₹117.66
BIKAJI FOODS INTERN LTD,BIKAJI,₹901.95
BHARTIYA INTERNATIONAL,BIL,₹625.55
BINANI INDUSTRIES LTD,BINANIIND,₹17.92
BIOCON LIMITED.,BIOCON,₹346.55
BIOFIL CHEM & PHARMA LTD,BIOFILCHEM,₹78.50
BIRLA CABLE LIMITED,BIRLACABLE,₹247.60
BIRLA CORPORATION LTD,BIRLACORPN,₹1248.70
ADITYA BIRLA MONEY LTD,BIRLAMONEY,₹146.79
BEML LAND ASSETS LIMITED,BLAL,₹235.00
BLB LIMITED,BLBLIMITED,₹20.19
BLISS GVS PHARMA LTD,BLISSGVS,₹131.25
B.L.KASHYAP & SON LTD,BLKASHYAP,₹92.35
BLS INTL SERVS LTD,BLS,₹357.95
BLS E-SERVICES LIMITED,BLSE,₹219.02
BLUE CHIP INDIA LIMITED,BLUECHIP,₹6.45
BLUE COAST HOTELS LIMITED,BLUECOAST,₹10.52
BLUE DART EXPRESS LTD,BLUEDART,₹8355.00
BLUE JET HEALTHCARE LTD,BLUEJET,₹500.75
BLUE PEBBLE LIMITED,BLUEPEBBLE,₹274.80
BLUE STAR LIMITED,BLUESTARCO,₹2122.60
BOMBAY METRICS S C LTD,BMETRICS,₹71.55
BODAL CHEMICALS LTD,BODALCHEM,₹83.76
BOMBAY DYEING & MFG. CO L,BOMDYEING,₹233.02
BOROSIL LIMITED,BOROLTD,₹410.00
BOROSIL RENEWABLES LTD,BORORENEW,₹478.00
BOROSIL SCIENTIFIC LTD,BOROSCI,₹184.90
BOSCH LIMITED,BOSCHLTD,₹37150.00
BOSS PACKAGING SOLU LTD,BOSS,₹66.00
BHARAT PETROLEUM CORP  LT,BPCL,₹342.00
BPL LTD,BPL,₹105.00
BRACE PORT LOGISTICS LTD,BRACEPORT,₹107.00
BRIGADE ENTER. LTD,BRIGADE,₹1376.90
BRITANNIA INDUSTRIES LTD,BRITANNIA,₹6222.65
BHARAT ROAD NETWORK LTD,BRNL,₹46.56
BROOKS LAB LIMITED,BROOKS,₹145.04
BSE LIMITED,BSE,₹4190.00
ICICIPRAMC - ICICI500,,₹4190.00
BOMBAY SUPER HYBRID SEEDS,BSHSL,₹170.00
BSL LTD,BSL,₹214.12
ADITYBIRLA SL GOLD ETF-GR,,₹214.12
ADITYBIRLA SL NIF ETF-GR,,₹214.12
BIRLASLAMC - BSLSENETFG,,₹214.12
BIRLASOFT LIMITED,BSOFT,₹588.05
BODHI TREE MULTIMEDIA LTD,BTML,₹11.61
BULKCORP INTERNATIONAL L,BULKCORP,₹124.00
BURNPUR CEMENT LTD.,BURNPUR,₹6.95
BTRFLY GANDHI APPL LTD,BUTTERFLY,₹971.40
BARAK VALLEY CEM. LTD.,BVCL,₹61.00
THE BYKE HOSPITALITY LTD,BYKE,₹71.00
CADSYS (INDIA) LIMITED,CADSYS,₹138.00
CALIFORNIA SOFTWARE CO LT,CALSOFT,₹23.40
CAMLIN FINE SCIENCES LTD,CAMLINFINE,₹102.52
CAMPUS ACTIVEWEAR LIMITED,CAMPUS,₹332.00
COMPUTER AGE MNGT SER LTD,CAMS,₹4266.00
CANARA BANK,CANBK,₹108.24
CAN FIN HOMES LTD,CANFINHOME,₹852.05
CANTABIL RETAIL LTD,CANTABIL,₹238.64
CAPACITE INFRAPROJECT LTD,CAPACITE,₹380.90
CAPITAL SMALL FIN BANK L,CAPITALSFB,₹294.85
CAPLIN POINT LAB LTD.,CAPLIPOINT,₹1979.10
CAPITAL TRUST LIMITED,CAPTRUST,₹136.00
CARBORUNDUM UNIVERSAL LTD,CARBORUNIV,₹1465.00
CAREER POINT LIMITED,CAREERP,₹482.00
CARE RATINGS LIMITED,CARERATING,₹1040.00
CARTRADE TECH LIMITED,CARTRADE,₹933.00
CARYSIL LIMITED,CARYSIL,₹766.10
CASTROL INDIA LIMITED,CASTROLIND,₹230.40
NET AVENUE TECHNOLOGIES L,CBAZAAR,₹14.40
CONS. CONST. CONSORT LTD,CCCL,₹--
COUNTRY CLUB HOSP HOL LTD,CCHHL,₹21.64
CCL PRODUCTS (I) LTD,CCL,₹679.00
CENTRAL DEPO SER (I) LTD,CDSL,₹1385.00
CEAT LIMITED,CEATLTD,₹3059.95
CEIGALL INDIA LIMITED,CEIGALL,₹390.20
CELEBRITY FASHIONS LTD,CELEBRITY,₹16.44
CELLECOR GADGETS LIMITED,CELLECOR,₹54.55
CELLO WORLD LIMITED,CELLO,₹893.05
CELL POINT (INDIA) LTD,CELLPOINT,₹34.10
CENTURY ENKA LTD,CENTENKA,₹669.45
CENTURY EXTRUSIONS LTD,CENTEXT,₹23.46
CENTRAL BANK OF INDIA,CENTRALBK,₹58.00
CENTRUM CAPITAL LIMITED,CENTRUM,₹34.49
CENTUM ELECTRONICS LTD,CENTUM,₹1855.00
CENTURY PLYBOARDS (I) LTD,CENTURYPLY,₹882.85
CENTURY TEXTILES LTD,CENTURYTEX,₹2764.90
CERA SANITARYWARE LTD,CERA,₹8146.50
CEREBRA INT TECH LTD,CEREBRAINT,₹--
CESC LTD,CESC,₹195.00
CAPRI GLOBAL CAPITAL LTD,CGCL,₹202.70
CG POWER AND IND SOL LTD,CGPOWER,₹738.10
CREATIVE GRAPHICS S IND L,CGRAPHICS,₹173.50
CHALET HOTELS LIMITED,CHALET,₹855.15
CHAMBAL FERTILIZERS LTD,CHAMBLFERT,₹529.75
CHAVDA INFRA LIMITED,CHAVDA,₹184.70
CHEMBOND CHEMICALS LTD,CHEMBOND,₹585.80
CHEMCON SPECIAL CHEM LTD,CHEMCON,₹264.00
CHEMFAB ALKALIS LIMITED,CHEMFAB,₹1015.00
CHEMPLAST SANMAR LIMITED,CHEMPLASTS,₹497.80
CHENNAI PETROLEUM CORP LT,CHENNPETRO,₹916.00
